name,slug,category,subCategory,categoryNameZh,categoryNameEn,subCategoryNameZh,subCategoryNameEn,license,homepage,repo,status,totalScore,scorePercent
"AutoGPT","autogpt","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://agpt.co/","https://github.com/significant-gravitas/autogpt","tracked","",""
"AutoSubs","auto-subs","models-modalities","audio-speech","模型与多模态","Models & Modalities","语音与音频","Audio & Speech","Unknown","https://tom-moroney.com/auto-subs/","https://github.com/tmoroney/auto-subs","tracked","",""
"avante.nvim","avante-nvim","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://nix-community.github.io/nixvim/plugins/avante/index.html","https://github.com/yetone/avante.nvim","tracked","",""
"AWorld","aworld","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://inclusionai.github.io/AWorld/","https://github.com/inclusionai/aworld","tracked","",""
"AWS MCP","mcp","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://awslabs.github.io/mcp/","https://github.com/awslabs/mcp","tracked","",""
"AXLearn","axlearn","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://apple.github.io/axlearn","https://github.com/apple/axlearn","tracked","",""
"Axolotl","axolotl","training-optimization","finetuning-alignment","训练、评测与优化","Training, Evaluation & Optimization","微调与对齐","Finetuning & Alignment","Unknown","https://docs.axolotl.ai/","https://github.com/axolotl-ai-cloud/axolotl","tracked","",""
"Basic Memory","basic-memory","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://basicmemory.com","https://github.com/basicmachines-co/basic-memory","tracked","",""
"Beads","beads","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://steveyegge.github.io/beads/","https://github.com/steveyegge/beads","tracked","",""
"BentoML","bentoml","inference-serving","model-serving","推理与运行时","Inference & Runtime","模型服务","Model Serving","Unknown","https://bentoml.com","https://github.com/bentoml/bentoml","tracked","",""
"Beta9","beta9","inference-serving","model-serving","推理与运行时","Inference & Runtime","模型服务","Model Serving","Unknown","https://beam.cloud/","https://github.com/beam-cloud/beta9","tracked","",""
"BettaFish (WeiYu)","bettafish","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","","https://github.com/666ghj/bettafish","tracked","",""
"BISHENG","bisheng","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","http://www.bisheng.ai","https://github.com/dataelement/bisheng","tracked","",""
"Blades","blades","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/go-kratos/blades","tracked","",""
"BlenderMCP","blender-mcp","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/ahujasid/blender-mcp","tracked","",""
"Blinko","blinko","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://blinko.space","https://github.com/blinkospace/blinko","tracked","",""
"BMAD-METHOD","bmad-method","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/bmad-code-org/bmad-method","tracked","",""
"BoxLite","boxlite","inference-serving","sandboxes-runtimes","推理与运行时","Inference & Runtime","沙箱与执行运行时","Sandboxes & Execution","Unknown","https://boxlite.ai","https://github.com/boxlite-ai/boxlite","tracked","",""
"Browser Harness","browser-harness","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://browser-use.com","https://github.com/browser-use/browser-harness","tracked","",""
"browser-use","browser-use","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://browser-use.com/","https://github.com/browser-use/browser-use","tracked","",""
"BrowserOS","browseros","coding-devtools","browser-automation","开发者工具链","Developer Tooling","浏览器自动化","Browser Automation","Unknown","","https://github.com/browseros-ai/browseros","tracked","",""
"Bubble Lab","bubble-lab","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://bubblelab.ai/","https://github.com/bubblelabai/bubblelab","tracked","",""
"Build with Claude","buildwithclaude","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://www.buildwithclaude.com","https://github.com/davepoon/buildwithclaude","tracked","",""
"BuildingAI","buildingai","applications-products","low-code-builders","应用与体验","Applications & Experience","低代码构建","Low-code Builders","Unknown","https://www.fastbuildai.com/","https://github.com/bidingcc/buildingai","tracked","",""
"Bumblebee","bumblebee","coding-devtools","developer-utilities","开发者工具链","Developer Tooling","开发者工具","Developer Utilities","Apache-2.0","","https://github.com/perplexityai/bumblebee","tracked","",""
"Bun","bun","coding-devtools","developer-utilities","开发者工具链","Developer Tooling","开发者工具","Developer Utilities","Unknown","https://bun.sh","https://github.com/oven-sh/bun","tracked","",""
"Cactus","cactus","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://cactuscompute.com/docs","https://github.com/cactus-compute/cactus","tracked","",""
"cagent","cagent","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://www.docker.com","https://github.com/docker/cagent","tracked","",""
"CAMEL","camel","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://www.camel-ai.org/","https://github.com/camel-ai/camel","tracked","",""
"Candle","candle","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://huggingface.github.io/candle/guide/installation.html","https://github.com/huggingface/candle","tracked","",""
"CC Workflow Studio","cc-workflow-studio","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","","https://github.com/breaking-brake/cc-wf-studio","tracked","",""
"Chandra","chandra","models-modalities","multimodal","模型与多模态","Models & Modalities","多模态","Multimodal","Unknown","https://www.datalab.to","https://github.com/datalab-to/chandra","tracked","",""
"Chatbox","chatbox","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://chatboxai.app?utm_medium=github","https://github.com/chatboxai/chatbox","tracked","",""
"ChatDev","chatdev","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/openbmb/chatdev","tracked","",""
"Chaterm","chaterm","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://chaterm.ai/","https://github.com/chaterm/chaterm","tracked","",""
"ChatGPT on WeChat","chatgpt-on-wechat","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","","https://github.com/zhayujie/chatgpt-on-wechat","tracked","",""
"Chef","chef","applications-products","low-code-builders","应用与体验","Applications & Experience","低代码构建","Low-code Builders","Unknown","https://chef.convex.dev/","https://github.com/get-convex/chef","tracked","",""
"Cherry Studio","cherry-studio","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://www.cherry-ai.com/","https://github.com/cherryhq/cherry-studio","tracked","",""
"Chitu","chitu","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://qc-ai.cn","https://github.com/thu-pacman/chitu","tracked","",""
"Chroma","chroma","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://www.trychroma.com/","https://github.com/chroma-core/chroma","tracked","",""
"Chrome DevTools MCP","chrome-devtools-mcp","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/chromedevtools/chrome-devtools-mcp","tracked","",""
"Chrome DevTools Protocol","devtools-protocol","coding-devtools","developer-utilities","开发者工具链","Developer Tooling","开发者工具","Developer Utilities","Unknown","https://chromedevtools.github.io/devtools-protocol/","https://github.com/chromedevtools/devtools-protocol","tracked","",""
"Claude Agent SDK for Python","claude-agent-sdk-python","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://docs.anthropic.com/en/docs/claude-code/sdk/sdk-python","https://github.com/anthropics/claude-agent-sdk-python","tracked","",""
"Claude Code","claude-code","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://docs.anthropic.com/en/docs/claude-code/overview","https://github.com/anthropics/claude-code","tracked","",""
"Claude Code Agents & Plugins","agents","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://sethhobson.com/","https://github.com/wshobson/agents","tracked","",""
"Claude Code Router","claude-code-router","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","","https://github.com/musistudio/claude-code-router","tracked","",""
"Claude Mem","claude-mem","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://claude-mem.ai","https://github.com/thedotmack/claude-mem","tracked","",""
"Claude Task Master","claude-task-master","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://task-master.dev","https://github.com/eyaltoledano/claude-task-master","tracked","",""
"claude-code-tools","claude-code-tools","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://pypi.org/project/claude-code-tools/","https://github.com/pchalasani/claude-code-tools","tracked","",""
"Claude-Flow: Orchestration Platform for Claude","claude-flow","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://flow-nexus.ruv.io/","https://github.com/ruvnet/claude-flow","tracked","",""
"ClawRouter","clawrouter","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","","https://github.com/blockrunai/clawrouter","tracked","",""
"ClearML","clearml","training-optimization","training-frameworks","训练、评测与优化","Training, Evaluation & Optimization","训练框架","Training Frameworks","Unknown","https://clear.ml/docs","https://github.com/clearml/clearml","tracked","",""
"Cline","cline","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://cline.bot/","https://github.com/cline/cline","tracked","",""
"CloudBase AI ToolKit","cloudbase-ai-toolkit","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://docs.cloudbase.net/ai/cloudbase-ai-toolkit/","https://github.com/tencentcloudbase/cloudbase-ai-toolkit","tracked","",""
"Cloudflare Agents","cloudflare-agents","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://developers.cloudflare.com/agents/","https://github.com/cloudflare/agents","tracked","",""
"Cloudflare VibeSDK","vibesdk","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://build.cloudflare.dev/","https://github.com/cloudflare/vibesdk","tracked","",""
"CocoIndex","cocoindex","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://cocoindex.io","https://github.com/cocoindex-io/cocoindex","tracked","",""
"Code2Prompt","code2prompt","training-optimization","prompt-quality","训练、评测与优化","Training, Evaluation & Optimization","提示词质量","Prompt Quality","Unknown","https://code2prompt.dev/","https://github.com/mufeedvh/code2prompt","tracked","",""
"Codebuff","codebuff","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://codebuff.com/docs","https://github.com/codebuffai/codebuff","tracked","",""
"CodeGraph","codegraph","rag-knowledge","knowledge-graphs","知识与上下文工程","Knowledge & Context","知识图谱","Knowledge Graphs","Unknown","","https://github.com/colbymchenry/codegraph","tracked","",""
"CodeWhale","codewhale","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","MIT","https://codewhale.net/","https://github.com/Hmbown/CodeWhale","tracked","",""
"Codex","codex","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://chatgpt.com/codex","https://github.com/openai/codex","tracked","",""
"Colossal-AI","colossalai","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://www.colossalai.org/","https://github.com/hpcaitech/colossalai","tracked","",""
"ComfyUI","comfyui","models-modalities","image-video-generation","模型与多模态","Models & Modalities","图像与视频生成","Image & Video Generation","Unknown","","https://github.com/comfyanonymous/comfyui","tracked","",""
"Composio","composio","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://composio.dev/","https://github.com/composiohq/composio","tracked","",""
"Compounding Engineering Plugin","compounding-engineering-plugin","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","","https://github.com/everyinc/compounding-engineering-plugin","tracked","",""
"Conductor OSS","conductor-oss","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://conductor-oss.org/","https://github.com/conductor-oss/conductor","tracked","",""
"Context Hub","context-hub","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","","https://github.com/andrewyng/context-hub","tracked","",""
"Context7 MCP","context7-mcp","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://context7.com/","https://github.com/upstash/context7","tracked","",""
"Continue","continue","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://docs.continue.dev/","https://github.com/continuedev/continue","tracked","",""
"CoPaw","copaw","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://copaw.agentscope.io/","https://github.com/agentscope-ai/copaw","tracked","",""
"CopilotKit","copilotkit","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://docs.copilotkit.ai","https://github.com/copilotkit/copilotkit","tracked","",""
"Coral NPU","coral-npu","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://developers.google.com/coral","https://github.com/google-coral/coralnpu","tracked","",""
"Costrict","costrict","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://costrict.ai","https://github.com/zgsm-ai/costrict","tracked","",""
"CosyVoice","cosyvoice","models-modalities","audio-speech","模型与多模态","Models & Modalities","语音与音频","Audio & Speech","Unknown","https://funaudiollm.github.io/cosyvoice3/","https://github.com/funaudiollm/cosyvoice","tracked","",""
"Coze Loop","coze-loop","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://www.coze.com/","https://github.com/coze-dev/coze-loop","tracked","",""
"Coze Studio","coze-studio","coding-devtools","sdk-frameworks","开发者工具链","Developer Tooling","SDK 与框架","SDK Frameworks","Unknown","https://www.coze.com/","https://github.com/coze-dev/coze-studio","tracked","",""
"Crawl4AI","crawl4ai","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://crawl4ai.com","https://github.com/unclecode/crawl4ai","tracked","",""
"CrewAI","crewai","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://crewai.com/","https://github.com/crewaiinc/crewai","tracked","",""
"Crush","crush","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","","https://github.com/charmbracelet/crush","tracked","",""
